DATE,SALES
2/1/1995,0.404
3/1/1995,0.391
4/1/1995,0.398
5/1/1995,0.388
6/1/1995,0.388
7/1/1995,0.374
8/1/1995,0.362
9/1/1995,0.379
10/1/1995,0.391
11/1/1995,0.368
12/1/1995,0.400
1/1/1996,0.363
2/1/1996,0.372
3/1/1996,0.365
4/1/1996,0.354
5/1/1996,0.369
6/1/1996,0.392
7/1/1996,0.374
8/1/1996,0.358
9/1/1996,0.350
10/1/1996,0.336
11/1/1996,0.320
12/1/1996,0.334
1/1/1997,0.350
2/1/1997,0.355
3/1/1997,0.372
4/1/1997,0.364
5/1/1997,0.371
6/1/1997,0.344
7/1/1997,0.374
8/1/1997,0.383
9/1/1997,0.385
10/1/1997,0.395
11/1/1997,0.404
12/1/1997,0.415
1/1/1998,0.389
2/1/1998,0.393
3/1/1998,0.404
4/1/1998,0.402
5/1/1998,0.408
6/1/1998,0.393
7/1/1998,0.413
8/1/1998,0.438
9/1/1998,0.451
10/1/1998,0.452
11/1/1998,0.487
12/1/1998,0.466
1/1/1999,0.499
2/1/1999,0.531
3/1/1999,0.500
4/1/1999,0.507
5/1/1999,0.505
6/1/1999,0.507
7/1/1999,0.517
8/1/1999,0.520
9/1/1999,0.546
10/1/1999,0.545
11/1/1999,0.548
12/1/1999,0.529
1/1/2000,0.521
2/1/2000,0.522
3/1/2000,0.521
4/1/2000,0.497
5/1/2000,0.476
6/1/2000,0.518
7/1/2000,0.465
8/1/2000,0.441
9/1/2000,0.409
10/1/2000,0.397
11/1/2000,0.375
12/1/2000,0.391
1/1/2001,0.401
2/1/2001,0.393
3/1/2001,0.380
4/1/2001,0.341
5/1/2001,0.373
6/1/2001,0.360
7/1/2001,0.340
8/1/2001,0.332
9/1/2001,0.309
10/1/2001,0.346
11/1/2001,0.306
12/1/2001,0.318
1/1/2002,0.303
2/1/2002,0.299
3/1/2002,0.319
4/1/2002,0.325
5/1/2002,0.353
6/1/2002,0.326
7/1/2002,0.318
8/1/2002,0.343
9/1/2002,0.338
10/1/2002,0.336
11/1/2002,0.325
12/1/2002,0.273
1/1/2003,0.282
2/1/2003,0.301
3/1/2003,0.294
4/1/2003,0.318
5/1/2003,0.318
6/1/2003,0.327
7/1/2003,0.340
8/1/2003,0.331
9/1/2003,0.342
10/1/2003,0.347
11/1/2003,0.366
12/1/2003,0.365
1/1/2004,0.391
2/1/2004,0.398
3/1/2004,0.410
4/1/2004,0.405
5/1/2004,0.427
6/1/2004,0.412
7/1/2004,0.439
8/1/2004,0.440
9/1/2004,0.443
10/1/2004,0.458
11/1/2004,0.450
12/1/2004,0.475
1/1/2005,0.519
2/1/2005,0.483
3/1/2005,0.484
4/1/2005,0.482
5/1/2005,0.486
6/1/2005,0.515
7/1/2005,0.527
8/1/2005,0.501
9/1/2005,0.500
10/1/2005,0.488
11/1/2005,0.502
12/1/2005,0.486
1/1/2006,0.509
2/1/2006,0.557
3/1/2006,0.551
4/1/2006,0.559
5/1/2006,0.559
6/1/2006,0.548
7/1/2006,0.537
8/1/2006,0.556
9/1/2006,0.554
10/1/2006,0.543
11/1/2006,0.529
12/1/2006,0.538
1/1/2007,0.494
2/1/2007,0.465
3/1/2007,0.422
4/1/2007,0.401
5/1/2007,0.365
6/1/2007,0.356
7/1/2007,0.339
8/1/2007,0.346
9/1/2007,0.333
10/1/2007,0.329
11/1/2007,0.316
12/1/2007,0.312
1/1/2008,0.322
2/1/2008,0.326
3/1/2008,0.319
4/1/2008,0.337
5/1/2008,0.333
6/1/2008,0.312
7/1/2008,0.291
8/1/2008,0.285
9/1/2008,0.273
10/1/2008,0.267
11/1/2008,0.270
12/1/2008,0.242
1/1/2009,0.212
2/1/2009,0.200
3/1/2009,0.196
4/1/2009,0.182
5/1/2009,0.180
6/1/2009,0.193
7/1/2009,0.196
8/1/2009,0.186
9/1/2009,0.189
10/1/2009,0.206
11/1/2009,0.224
12/1/2009,0.224
1/1/2010,0.224
2/1/2010,0.207
3/1/2010,0.219
4/1/2010,0.204
5/1/2010,0.209
6/1/2010,0.212
7/1/2010,0.234
8/1/2010,0.212
9/1/2010,0.219
10/1/2010,0.216
11/1/2010,0.230
12/1/2010,0.223
1/1/2011,0.259
2/1/2011,0.266
3/1/2011,0.275
4/1/2011,0.289
5/1/2011,0.300
6/1/2011,0.305
7/1/2011,0.301
8/1/2011,0.326
