DATE,CYC
1/1/2001,-0.949863211
4/1/2001,-0.772613621
7/1/2001,-0.328649667
10/1/2001,0.348687
1/1/2002,0.559384537
4/1/2002,0.703428333
7/1/2002,0.614124333
10/1/2002,0.758105151
1/1/2003,0.768676667
4/1/2003,1.045808333
7/1/2003,1.056131333
10/1/2003,0.76627477
1/1/2004,0.642874
4/1/2004,0.552567577
7/1/2004,0.395325333
10/1/2004,0.404454645
1/1/2005,0.279924
4/1/2005,0.088363
7/1/2005,-0.036987813
10/1/2005,-0.030050109
1/1/2006,-0.253683403
4/1/2006,-0.343401143
7/1/2006,-0.332677824
10/1/2006,-0.521706747
1/1/2007,-0.44404698
4/1/2007,-0.433268579
7/1/2007,-0.256258473
10/1/2007,-0.113194325
1/1/2008,0.095808281
4/1/2008,0.437372764
7/1/2008,1.11152924
10/1/2008,1.985043371
1/1/2009,3.391404765
4/1/2009,4.430807735
7/1/2009,4.770127353
10/1/2009,5.076226389
1/1/2010,4.982605051
4/1/2010,4.789396743
7/1/2010,4.630035769
10/1/2010,4.671257137
1/1/2011,4.213089327
4/1/2011,4.255508543
7/1/2011,4.198430187
10/1/2011,3.841711215
1/1/2012,3.485167137
4/1/2012,3.428600479
7/1/2012,3.271830618
10/1/2012,3.048051143
1/1/2013,2.990508476
4/1/2013,2.799166115
7/1/2013,2.507360081
10/1/2013,2.21512104
1/1/2014,1.955831504
4/1/2014,1.496219169
7/1/2014,1.369686829
10/1/2014,1.009643722
1/1/2015,0.849501795
4/1/2015,0.756004868
7/1/2015,0.429225406
10/1/2015,0.369225979
1/1/2016,0.242719937
4/1/2016,0.28306657
7/1/2016,0.256934204
10/1/2016,0.130969155
1/1/2017,-0.061525798
4/1/2017,-0.253907357
7/1/2017,-0.279505655
10/1/2017,-0.438273704
1/1/2018,-0.563451201
4/1/2018,-0.654910899
7/1/2018,-0.812516192
10/1/2018,-0.736155002
1/1/2019,-0.692440683
4/1/2019,-0.914738983
7/1/2019,-0.936518385
10/1/2019,-0.924682421
1/1/2020,-0.679542664
4/1/2020,8.498564924
7/1/2020,4.309341759
10/1/2020,2.252577006
1/1/2021,1.761395652
4/1/2021,1.469283127
7/1/2021,0.609586721
10/1/2021,-0.284259632
1/1/2022,-0.645478926
4/1/2022,-0.807299693
7/1/2022,-0.90296524
10/1/2022,-0.865730873
1/1/2023,-0.928862109
4/1/2023,-0.858961536
7/1/2023,-0.72261683
10/1/2023,-0.686418042
1/1/2024,-0.616962027
4/1/2024,-0.414191339
7/1/2024,-0.31142
